Name,Restaurant_Type,Address,Zip_Code,Phone
Restaurant Lehmofen,Tuerkisches Restaurant,Freiheit 12b,12555 Berlin–Köpenick,(030) 655 704 4
Restaurant Mykonos,Griechisches Restaurant,Wendenschloßstr. 43,12559 Berlin–Köpenick,(030) 654 992 19
Restaurant-Bar-Bootsanleger Sonnendeck,Mediterranes Restaurant,Edisonstraße 63,12459 Berlin–Köpenick,(030) 397 229 19
Restauration Zur Gardestube,Deutsches Restaurant,Rosenstr. 3,12555 Berlin–Köpenick,(030) 641 674 31
SpreeArche Restaurant,Deutsches Restaurant,Müggelseedamm 70,12587 Berlin–Köpenick,(030) 896 365 09
Stella del Köp,Italienisches Restaurant,An der Wuhlheide 228,12459 Berlin–Köpenick,(030) 530 107 73
Restaurant Strandlust,Fischrestaurant,Seddinpromenade 3a,12527 Berlin–Köpenick,(030) 983 790 94
Tinh Co,Vietnamesisches Restaurant,Bahnhofstr. 7,12555 Berlin–Köpenick,(030) 555 260 46
Trattoria Tresoli,Italienisches Restaurant,Bölschestr. 105,12587 Berlin–Köpenick,(030) 643 299 15
Viana Do Castello,Italienisches Restaurant,Kaulsdorfer Str. 129,12555 Berlin–Köpenick,(030) 643 281 31
Yoko Sushi,Sushirestaurant,Wilhelminenhofstr. 48,12459 Berlin–Köpenick,(030) 530 000 02
Zur alten Laterne,Berliner Restaurant,Alt-Köpenick 31-33,12555 Berlin–Köpenick,(030) 655 729 7
Abirams,Indisches Restaurant,Zossener Str. 12,10961 Berlin–Kreuzberg,(030) 695 031 03
Aki Tatsu Sushi & More,Sushirestaurant,Adalbertstr. 90,10997 Berlin–Kreuzberg,(030) 695 691 76
Aki Tatsu Sushi and More,Sushirestaurant,Bergmannstr. 93,10961 Berlin–Kreuzberg,(030) 616 718 88
Amici Amici,Italienisches Restaurant,Mehringdamm 40,10961 Berlin–Kreuzberg,None
ammAmma,Srilankisches Restaurant,Urbanstr. 28a,10967 Berlin–Kreuzberg,(030) 740 735 16
Bans und Bans GbR,Indisches Restaurant,Oranienstr. 204,10999 Berlin–Kreuzberg,(030) 612 555 0
Angry Chicken GmbH,Koreanisches Restaurant,Oranienstr. 16,10999 Berlin–Kreuzberg,(030) 695 994 27
Angus,Steakhaus,Kreuzbergstr. 11,10965 Berlin–Kreuzberg,None
Antonello's Cevicheria & Street Food,Italienisches Restaurant,Nostitzstr. 22,10961 Berlin–Kreuzberg,None
Austria,Oesterreichisches Restaurant,Bergmannstr. 30,10961 Berlin–Kreuzberg,(030) 694 444 0
Bärsilien,Brasilianisches Restaurant,Falckensteinstr. 35,10997 Berlin–Kreuzberg,(0177) 169 020 4
Bagdad,Tuerkisches Restaurant,Schlesische Str. 2,10997 Berlin–Kreuzberg,(030) 612 696 2
Bal-Köfteci,Imbiss,Kottbusser Damm 101,10967 Berlin–Kreuzberg,(030) 695 797 65
Bamia Restaurant,Internationales Restaurant,Stresemannstr. 95,10963 Berlin–Kreuzberg,(030) 220 095 0
Bar Centrale,Italienisches Restaurant,Yorckstr. 82,10965 Berlin–Kreuzberg,(030) 786 298 9
Bar Raval,Tapasbar,Lübbener Str. 1,10997 Berlin–Kreuzberg,None
Baraka,Marokkanisches Restaurant,Lausitzer Platz 6,10997 Berlin–Kreuzberg,(030) 612 633 0
Baraka,Arabisches Restaurant,Lausitzer Platz 6,10997 Berlin–Kreuzberg,(030) 612 633 0
BarceLona,Spanisches Restaurant,Friedrichstr. 211,10969 Berlin–Kreuzberg,None
Basmah,Arabisches Restaurant,Reichenberger Str. 26,10999 Berlin–Kreuzberg,(0176) 733 312 22
Simone Lotzmann,Internationales Restaurant,Reichenberger Str. 122,10999 Berlin–Kreuzberg,(030) 548 218 66
Belle Alliance,Internationales Restaurant,Mehringdamm 56,10961 Berlin–Kreuzberg,None
Berlino,Italienisches Restaurant,Hasenheide 13,10967 Berlin–Kreuzberg,None
Big Stuff Smoked BBQ,Imbiss,Eisenbahnstr. 42/43,10997 Berlin–Kreuzberg,None
Blackbull Grillhouse,Steakhaus,Kottbusser Str. 1,10999 Berlin–Kreuzberg,None
Blue Nile,Afrikanisches Restaurant,Tempelhofer Ufer 6,10963 Berlin–Kreuzberg,None
Bone.s,Biorestaurant,Eisenbahnstr. 42-43,10997 Berlin–Kreuzberg,(030) 625 858 9
Burgermeister,Burger,Oberbaumstr. 8,10997 Berlin–Kreuzberg,(030) 238 838 40
Café Atlantic,Bistro,Bergmannstr. 100,10961 Berlin–Kreuzberg,(030) 691 929 2
Café do Brasil,Brasilianisches Restaurant,Dudenstr. 2 - Am Platz der Luftbrücke,10965 Berlin–Kreuzberg,(030) 780 068 87
Café Mori,Brasilianisches Restaurant,Wiener Str. 13,10999 Berlin–Kreuzberg,(030) 663 003 30
Café Restaurant Italo,Italienisches Restaurant,Marheinekeplatz 4,10961 Berlin–Kreuzberg,(030) 691 563 7
Call a Pizza,Pizzaservice,Arndtstraße 6,10965 Berlin–Kreuzberg,(030) 693 308 7
Cassonade,Bistro,Oranienstr. 199,10999 Berlin–Kreuzberg,(0176) 222 423 47
Pizzeria Trattoria Castel Montecroce,Italienisches Restaurant,Friesenstr. 14,10965 Berlin–Kreuzberg,(030) 628 454 71
Chan Restaurant,Thailaendisches Restaurant,Paul-Lincke-Ufer 42,10999 Berlin–Kreuzberg,None
Chaparro,Mexikanisches Restaurant,Wiener Str. 14,10999 Berlin–Kreuzberg,(030) 303 687 30
Chez Michel,Franzoesisches Restaurant,Adalbertstr. 83,10997 Berlin–Kreuzberg,(030) 208 455 07
Chi Chu,Vietnamesisches Restaurant,Lausitzer Platz 14,10997 Berlin–Kreuzberg,(030) 818 034 82
Chili Chutney,Afghanisches Restaurant,Eisenbahnstr. 5,10997 Berlin–Kreuzberg,(030) 521 364 48
Chung Asia Street Kitchen,Vietnamesisches Restaurant,Schlesische Str. 29,10997 Berlin–Kreuzberg,None
Chungking Noodles,Chinesisches Restaurant,Reichenberger Str. 35,10999 Berlin–Kreuzberg,None
Chupenga GmbH,Mexikanisches Restaurant,Charlottenstr. 4,10969 Berlin–Kreuzberg,(030) 259 351 48
Cocochu,Vietnamesisches Restaurant,Paul-Lincke-Ufer 23,10999 Berlin–Kreuzberg,None
Cocoro,Japanisches Restaurant,Mehringdamm 64,10961 Berlin–Kreuzberg,(030) 814 943 29
Com Á,Vietnamesisches Restaurant,Oranienstr. 191,10999 Berlin–Kreuzberg,(030) 915 126 59
Comcha - Veganes Vietnamesisches Restaurant,Veganes Restaurant,Dresdener Str. 15,10999 Berlin–Kreuzberg,(030) 654 839 62
Con Tho,Vietnamesisches Restaurant,Hasenheide 16,10967 Berlin–Kreuzberg,(030) 224 561 22
Curry 36,Imbiss,Mehringdamm 36,10961 Berlin–Kreuzberg,(030) 251 736 8
Da Dante,Pizzeria,Oranienstr. 10,10997 Berlin–Kreuzberg,None
Da Jia Le,Chinesisches Restaurant,Goebenstr. 23,10783 Berlin–Kreuzberg,(030) 214 597 45
Café-Bar Datscha,Russisches Restaurant,Graefestr. 83,10967 Berlin–Kreuzberg,None
De Noantri,Italienisches Restaurant,Görlitzer Str. 63,10997 Berlin–Kreuzberg,(030) 284 367 78
Defne,Tuerkisches Restaurant,Planufer 92c,10967 Berlin–Kreuzberg,(030) 817 971 11
Delhi 6,Indisches Restaurant,Friedrichstr. 237,10969 Berlin–Kreuzberg,(030) 251 677 5
Der goldene Hahn,Italienisches Restaurant,Pücklerstr. 20,10997 Berlin–Kreuzberg,(030) 618 809 8
Der Vegetarische Metzger,Vegetarisches Restaurant,Bergmannstr. 1,10961 Berlin–Kreuzberg,(030) 224 798 37
Die Löffelei,Suppenbar,Potsdamer Str. 73,10785 Berlin–Kreuzberg,(030) 263 948 98
DingsDums Dumplings,Imbiss,Wiener Straße 34,10999 Berlin–Kreuzberg,None
Dolden Mädel Braugasthaus,Deutsches Restaurant,Mehringdamm 80,10965 Berlin–Kreuzberg,(030) 773 262 13
Domino's Pizza Deutschland GmbH,Pizzaservice,Oranienstr. 52,10969 Berlin–Kreuzberg,(030) 270 171 20
Domino's Pizza,Pizzaservice,Brachvogelstr. 1,10961 Berlin–Kreuzberg,(030) 692 111 1
Eigengrau,Internationales Restaurant,Skalitzer Str. 45,10997 Berlin–Kreuzberg,None
Element Five,Veganes Restaurant,Skalitzer Str. 46b,10997 Berlin–Kreuzberg,(030) 773 211 52
Falafel in Berlin.de,Imbiss,Skalitzer Str. 102,10997 Berlin–Kreuzberg,(0176) 403 766 75
Faro,Spanisches Restaurant,Schlesische Str. 14,10997 Berlin–Kreuzberg,(030) 369 923 40
FeedBack,Chinesisches Restaurant,Paul-Lincke-Ufer 45,10999 Berlin–Kreuzberg,(030) 616 541 11
Fisch-Schmidt,Imbiss,Wrangelstr. 82,10997 Berlin–Kreuzberg,(030) 612 324 9
Fratelli La Bionda,Italienisches Restaurant,Bergmannstr. 31,10961 Berlin–Kreuzberg,(030) 639 017 70
Frau Luna,Tapasbar,Paul-Lincke-Ufer 44,10999 Berlin–Kreuzberg,None
Freshdays,Vietnamesisches Restaurant,Skalitzer Str. 103,10997 Berlin–Kreuzberg,None
Restaurant G wie Goulasch,Deutsches Restaurant,Chamissoplatz 1,10965 Berlin–Kreuzberg,(030) 224 391 29
Gasthaus Figl,Mediterranes Restaurant,Urbanstr. 47,10967 Berlin–Kreuzberg,None
Geschmackssache,Bistro,Taborstr. 20,12435 Berlin–Kreuzberg,(030) 338 563 19
Gloria,Argentinisches Restaurant,Görlitzer Str. 42,10997 Berlin–Kreuzberg,(030) 497 815 43
Goldies Berlin,Imbiss,Oranienstr. 6,10997 Berlin–Kreuzberg,(030) 747 803 20
Goldies Smash Burger,Burger,Graefestr. 93,10967 Berlin–Kreuzberg,(030) 747 803 20
Good Morning Vietnam,Veganes Restaurant,Bergmannstr. 102,10961 Berlin–Kreuzberg,None
Gorgonzola Club,Italienisches Restaurant,Dresdener Str. 121,10999 Berlin–Kreuzberg,(030) 615 647 3
Green Rice,Vietnamesisches Restaurant,Adalbertstr. 11,10999 Berlin–Kreuzberg,(030) 615 073 67
gri gri,Mediterranes Restaurant,Paul-Lincke-Ufer 11,10999 Berlin–Kreuzberg,(030) 612 519 5
Grünfisch,Italienisches Restaurant,Graefestr. 26a,10967 Berlin–Kreuzberg,(030) 616 212 52
Gude Falafel,Imbiss,Köpenicker Str. 1a,10997 Berlin–Kreuzberg,(030) 473 952 45
Guru,Indisches Restaurant,Körtestr. 30,10967 Berlin–Kreuzberg,(030) 694 920 1
Haidar,Imbiss,Bergmannstr. 88,10961 Berlin–Kreuzberg,(030) 691 334 1
Hamy Café,Vietnamesisches Restaurant,Hasenheide 10,10967 Berlin–Kreuzberg,(030) 616 259 59
Hari Moksh,Indisches Restaurant,Köpenicker Str. 159,10997 Berlin–Kreuzberg,None
Hasir Ocakbaşı,Tuerkisches Restaurant,Adalbertstraße 10,10999 Berlin–Kreuzberg,(030) 616 592 22
Hasir Gastronomie Kreuzberg GmbH,Burger,Adalbertstr. 93,10999 Berlin–Kreuzberg,(030) 611 075 90
Hasir,Tuerkisches Restaurant,Oranienstr. 177,10999 Berlin–Kreuzberg,(030) 614 237 3
Hasir Ocakbasi,Tuerkisches Restaurant,Adalbertstr. 12,10999 Berlin–Kreuzberg,None
Horváth,Gourmetrestaurant,Paul-Lincke-Ufer 44a,10999 Berlin–Kreuzberg,(030) 612 899 92
Hostaria del Monte Croce,Italienisches Restaurant,Mittenwalder Str. 6,10961 Berlin–Kreuzberg,(030) 694 396 8
Hot Pot Soup,Suppenbar,Friesenstr. 7,10965 Berlin–Kreuzberg,(030) 252 940 15
Huong Que,Vietnamesisches Restaurant,Bergmannstr. 96,10961 Berlin–Kreuzberg,(030) 694 986 9
I Golosi Briganti,Italienisches Restaurant,Falckensteinstr. 33,10997 Berlin–Kreuzberg,(030) 955 969 68
Iiu - Asian Fusion Food,Asiatisches Restaurant,Oranienstr. 10-11,10997 Berlin–Kreuzberg,(030) 616 218 81
Imbiss Uferpavillion,Imbiss,Paul-Lincke-Ufer 4,10999 Berlin–Kreuzberg,(030) 616 523 40
Imren Grill,Imbiss,Boppstr. 10,10967 Berlin–Kreuzberg,(0177) 176 607 4
InCibus,Italienisches Restaurant,Monumentenstr. 26,10965 Berlin–Kreuzberg,(030) 339 163 26
India,Indisches Restaurant,Bergmannstr. 100,10961 Berlin–Kreuzberg,(030) 692 697 6
Irma La Douce,Franzoesisches Restaurant,Potsdamer Str. 102,10785 Berlin–Kreuzberg,(030) 230 005 55
Jolesch Gastronomie GmbH,Oesterreichisches Restaurant,Muskauer Str. 1,10997 Berlin–Kreuzberg,(030) 612 358 1
Kantine Kohlmann,Deutsches Restaurant,Skalitzer Str. 64,10997 Berlin–Kreuzberg,(01575) 159 388 1
Karloff,Italienisches Restaurant,Reichenberger Str. 152,10999 Berlin–Kreuzberg,(0178) 144 566 4
Kiez Vegan,Veganes Restaurant,Körtestr. 22,10967 Berlin–Kreuzberg,(0176) 227 816 91
Kiiro Burger,Veganes Restaurant,Schönleinstr. 34,10967 Berlin–Kreuzberg,(030) 616 204 20
Kimchi Princess,Koreanisches Restaurant,Skalitzer Str. 36 - Eingang in der Manteuffelstr.,10999 Berlin–Kreuzberg,(0163) 458 020 3
Kinnaree Thai,Thailaendisches Restaurant,Südstern 14,10961 Berlin–Kreuzberg,(030) 577 941 99
Kori & Fay,Thailaendisches Restaurant,Rudi-Dutschke-Str. 28,10969 Berlin–Kreuzberg,(030) 236 283 59
Koyote,Internationales Restaurant,Admiralstr. 20,10999 Berlin–Kreuzberg,None
Kreuzberger Himmel,Arabisches Restaurant,Yorckstraße 89,10965 Berlin–Kreuzberg,None
Kreuzberger Weltlaterne,Griechisches Restaurant,Kohlfurter Str. 37,10999 Berlin–Kreuzberg,(030) 614 915 1
Kreuzburger,Burger,Oranienstr. 190,10999 Berlin–Kreuzberg,(030) 805 753 98
Kuchenkaiser,Deutsches Restaurant,Oranienplatz 11-13,10999 Berlin–Kreuzberg,(030) 614 026 97
Kuchenkaiser,Internationales Restaurant,Oranienplatz 11-13,10999 Berlin–Kreuzberg,None
Kumpel & Keule GmbH,Deutsches Restaurant,Skalitzer Str. 97,10997 Berlin–Kreuzberg,None
La Lupa,Italienisches Restaurant,Spreewaldplatz 6,10999 Berlin–Kreuzberg,None
La Piadina,Italienisches Restaurant,Mariannenplatz 23,10997 Berlin–Kreuzberg,(030) 284 253 13
La Piccola,Italienisches Restaurant,Ritterstr. 60b,10969 Berlin–Kreuzberg,(030) 251 660 7
Las Primas,Mediterranes Restaurant,Wrangelstr. 54,10997 Berlin–Kreuzberg,(030) 600 311 32
Lausebengel,Deutsches Restaurant,Grimmstr. 21,10967 Berlin–Kreuzberg,(030) 224 743 91
Le Bon,Internationales Restaurant,Boppstr. 1,10967 Berlin–Kreuzberg,None
Brasserie Le Bon Mori,Franzoesisches Restaurant,Stresemannstr. 21,10963 Berlin–Kreuzberg,(030) 252 912 46
Little Tibet,Asiatisches Restaurant,Gneisenaustr. 6a,10961 Berlin–Kreuzberg,(030) 690 047 47
Lode & Stijn,Internationales Restaurant,Lausitzer Str. 25,10999 Berlin–Kreuzberg,(030) 652 145 07
Long March Canteen,Chinesisches Restaurant,Wrangelstr. 20,10997 Berlin–Kreuzberg,(0178) 884 959 9
Loui's Burgers,Burger,Zossener Str. 25,10961 Berlin–Kreuzberg,None
Lupita,Mexikanisches Restaurant,Bergmannstr. 11,10961 Berlin–Kreuzberg,(030) 887 158 88
Madang,Koreanisches Restaurant,Gneisenaustr. 8,10961 Berlin–Kreuzberg,(030) 488 279 92
Mädchen ohne Abitur,Internationales Restaurant,Körtestr. 5,10967 Berlin–Kreuzberg,(030) 616 258 60
Mahlzeit Kreuzberg,Bistro,Alexandrinenstr. 1a,10969 Berlin–Kreuzberg,(030) 695 971 17
Maison Blanche,Mediterranes Restaurant,Körtestr. 15,10967 Berlin–Kreuzberg,(030) 743 999 70
Maison Umami,Asiatisches Restaurant,Schlesische Str. 5,10997 Berlin–Kreuzberg,(030) 279 824 24
Ma'Loa Poke,Amerikanisches Restaurant,Oranienstr. 187,10999 Berlin–Kreuzberg,(030) 284 219 58
Mały Książę - Polnische Lebensmittel & Café,Polnisches Restaurant,Lilienthalstr. 6,10965 Berlin–Kreuzberg,(030) 629 080 68
Mama Cook,Vietnamesisches Restaurant,Hedemannstr. 10,10969 Berlin–Kreuzberg,None
Mama Shabz,Pakistanisches Restaurant,Reichenberger Str. 61a,10999 Berlin–Kreuzberg,None
Mani in Pasta,Italienisches Restaurant,Eisenbahnstr. 42-43 - in der Markthalle Neun,10997 Berlin–Kreuzberg,(0176) 315 449 06
Marheineke Markthalle,Imbiss,Marheinekeplatz 15,10961 Berlin–Kreuzberg,(030) 505 665 36
Maria,Vegetarisches Restaurant,Falckensteinstr. 37,10997 Berlin–Kreuzberg,(030) 552 052 25
Mariona,Spanisches Restaurant,Skalitzer Str. 94b,10997 Berlin–Kreuzberg,(030) 616 712 14
Markthalle Neun GmbH,Imbiss,Eisenbahnstr. 42-43,10997 Berlin–Kreuzberg,(030) 610 734 73
Marktlokal der Markthalle Neun,Deutsches Restaurant,Pücklerstr. 34,10997 Berlin–Kreuzberg,(030) 286 651 22
Martinello,Italienisches Restaurant,Reichenberger Str. 73,10999 Berlin–Kreuzberg,None
Maselli,Italienisches Restaurant,Nostitzstr. 49,10961 Berlin–Kreuzberg,(030) 690 043 63
Matzbach,Deutsches Restaurant,Marheinekeplatz 15,10961 Berlin–Kreuzberg,(030) 612 022 92
McDonald's,Fast Food,Friedrichstr. 207,10969 Berlin–Kreuzberg,(030) 212 368 81
McDonald's,Fast Food,Wrangelstr. 35,10997 Berlin–Kreuzberg,(030) 610 733 38
Mercosy,Koreanisches Restaurant,Dresdener Str. 11,10999 Berlin–Kreuzberg,(030) 301 048 62
Mikoto Sushi,Sushirestaurant,Skalitzer Str. 73,10997 Berlin–Kreuzberg,None
"Mini - Wine, Food & Cult Movies",Italienisches Restaurant,Urbanstr. 126,10967 Berlin–Kreuzberg,None
Mirami Restaurant,Vietnamesisches Restaurant,Stresemannstr. 48,10963 Berlin–Kreuzberg,None
Misir Carsisi,Aegyptisches Restaurant,Skalitzer Str. 134,10999 Berlin–Kreuzberg,(030) 615 634 1
Miss Saigon,Vietnamesisches Restaurant,Skalitzer Str. 38,10999 Berlin–Kreuzberg,(030) 695 333 77
Mitteleuropa,Bistro,Kohlfurter Str. 2,10999 Berlin–Kreuzberg,(0178) 860 568 8
Lechle & Lechle GbR,Imbiss,Wiener Str. 31,10999 Berlin–Kreuzberg,(0173) 804 385 9
Möllers Köttbullar,Fast Food,Köpenicker Straße 190,10997 Berlin–Kreuzberg,(030) 769 817 979
Hof zwei,Mediterranes Restaurant,Schöneberger Str. 3 - Mövenpick Hotel Berlin,10963 Berlin–Kreuzberg,(030) 230 064 85
Mokkabar,Bistro,Gneisenaustr. 93,10961 Berlin–Kreuzberg,(030) 694 886 8
Moksa,Indisches Restaurant,Oranienstr. 200,10999 Berlin–Kreuzberg,None
Molinari & Ko,Italienisches Restaurant,Riemannstr. 13 - Ecke Solmsstr.,10961 Berlin–Kreuzberg,(030) 691 390 3
Mom's Creation,Veganes Restaurant,Elsenstr. 27,12435 Berlin–Kreuzberg,(030) 345 088 98
MON Restaurant,Vegetarisches Restaurant,Oranienplatz 5,10999 Berlin–Kreuzberg,(030) 984 385 81
Morimori Ramen,Japanisches Restaurant,Oranienstr. 201,10999 Berlin–Kreuzberg,(030) 350 552 27
Mother's Heart,Vietnamesisches Restaurant,Körtestr. 33,10967 Berlin–Kreuzberg,None
Muglia,Indisches Restaurant,Gneisenaustr. 69,10961 Berlin–Kreuzberg,(030) 695 082 50
Mundvoll,Internationales Restaurant,Waldemarstr. 48,10997 Berlin–Kreuzberg,None
Musashi,Japanisches Restaurant,Kottbusser Damm 102,10967 Berlin–Kreuzberg,(030) 693 204 2
Museumscafé Anhalt,Bistro,Trebbiner Str. 9,10963 Berlin–Kreuzberg,(030) 955 905 76
Mustafas Gemüsekebap,Imbiss,Mehringdamm 32,10961 Berlin–Kreuzberg,None
My X Burger,Burger,Schlesische Str. 1-2,10997 Berlin–Kreuzberg,(030) 612 696 2
Myface Restaurant,Vietnamesisches Restaurant,Schlesische Str. 35,10997 Berlin–Kreuzberg,None
Nam Long,Vietnamesisches Restaurant,Oppelner Str. 46,10997 Berlin–Kreuzberg,None
Naveenapath - Sri Lanka Haus,Srilankisches Restaurant,Yorckstr. 89,10965 Berlin–Kreuzberg,(0152) 101 059 95
Nepal Haus,Asiatisches Restaurant,Gneisenaustr. 4,10961 Berlin–Kreuzberg,(030) 695 080 55
NEST Speise- & Schankwirtschaft,Internationales Restaurant,Görlitzer Str. 52,10997 Berlin–Kreuzberg,(030) 627 357 87
Nobelhart & Schmutzig,Gourmetrestaurant,Friedrichstr. 218,10969 Berlin–Kreuzberg,(030) 259 406 10
Obermaier Restaurant,Bayerisches Restaurant,Erkelenzdamm 17,10999 Berlin–Kreuzberg,(030) 616 568 62
Oh Madriz!,Tapasbar,Dieffenbachstr. 36,10967 Berlin–Kreuzberg,None
Ohana – Viet Poké Bowl,Vietnamesisches Restaurant,Reichenberger Str. 120,10999 Berlin–Kreuzberg,(030) 339 166 66
Orania,Gourmetrestaurant,Oranienplatz 17,10999 Berlin–Kreuzberg,(030) 695 396 80
Orient Esspress,Arabisches Restaurant,Zossener Str. 27,10961 Berlin–Kreuzberg,(030) 546 511 28
Osteria Caruso,Italienisches Restaurant,Köthener Str. 38,10963 Berlin–Kreuzberg,None
Osteria No. 1,Italienisches Restaurant,Kreuzbergstr. 71,10965 Berlin–Kreuzberg,(030) 577 929 99
Pagode Thai Kitchen,Thailaendisches Restaurant,Bergmannstr. 88,10961 Berlin–Kreuzberg,(030) 691 264 0
Parker Bowles Restaurant GmbH,Internationales Restaurant,Prinzenstr. 85d,10969 Berlin–Kreuzberg,None
Wolt Enterprises Deutschland GmbH,Asiatisches Restaurant,Prinzenstr. 85d,10969 Berlin–Kreuzberg,(030) 552 790 99
Parlamento Degli Angeli,Italienisches Restaurant,Bergmannstr. 109,10961 Berlin–Kreuzberg,None
Pastarium Berlin,Italienisches Restaurant,Willibald-Alexis-Str. 27,10965 Berlin–Kreuzberg,(030) 695 031 30
Paulaner Wirtshaus Berlin Postdamer Platz,Bayerisches Restaurant,Alte Potsdamer Str. 1,10785 Berlin–Kreuzberg,(0170) 785 942 2
Phantasia Restaurant,Asiatisches Restaurant,Mehringdamm 44-46,10961 Berlin–Kreuzberg,(030) 521 355 75
Pho Hoi,Vietnamesisches Restaurant,Skalitzer Str. 95 a,10997 Berlin–Kreuzberg,(030) 695 152 60
Pho-Noodlebar Kreuzberg,Vietnamesisches Restaurant,Adalbertstr. 9,10999 Berlin–Kreuzberg,None
Piccola Romantica,Italienisches Restaurant,Bergmannstr. 19,10961 Berlin–Kreuzberg,(030) 614 030 11
Picoteo,Spanisches Restaurant,Erkelenzdamm 47,10999 Berlin–Kreuzberg,(030) 604 074 00
Pizza Max,Pizzaservice,Wiener Str. 46,10999 Berlin–Kreuzberg,(030) 617 519 2
Pizza Max,Pizzaservice,Wilhelmstr. 23,10963 Berlin–Kreuzberg,(030) 252 960 05
Pizza Pasta Bar Friends,Pizzeria,Graefestr. 8,10967 Berlin–Kreuzberg,(030) 965 106 63
Pizzaglück,Bistro,Schleusenufer 3 - Birgit und Bier,10997 Berlin–Kreuzberg,(0176) 246 506 35
Platz doch!,Internationales Restaurant,Manteuffelstr. 48,10999 Berlin–Kreuzberg,None
Poké Pelelina,Amerikanisches Restaurant,Graefestr. 75,10967 Berlin–Kreuzberg,(030) 639 105 03
Primavera,Italienisches Restaurant,Mehringdamm 72,10961 Berlin–Kreuzberg,(030) 785 974 2
Amar GmbH,Mexikanisches Restaurant,Skalitzer Str. 107,10997 Berlin–Kreuzberg,(030) 814 926 14
Que Pasa III,Mexikanisches Restaurant,Zossener Str. 27,10961 Berlin–Kreuzberg,(030) 695 379 51
Quy Nguyen Vegan Living,Veganes Restaurant,Wiener Str. 61,10999 Berlin–Kreuzberg,(030) 325 053 47
RedsDeli Speisenmeisterei,Bistro,Kreuzbergstr. 10,10965 Berlin–Kreuzberg,(030) 892 034 07
Steakhouse Asador,Steakhaus,Wilhelmstr. 22,10963 Berlin–Kreuzberg,(030) 259 318 18
Restaurant Freischwimmer,Internationales Restaurant,Vor dem Schlesischen Tor 2,10997 Berlin–Kreuzberg,(030) 610 743 09
Langano,Afrikanisches Restaurant,Kohlfurter Str. 44,10999 Berlin–Kreuzberg,(030) 615 071 03
Restaurant Panther,Internationales Restaurant,Waldemarstr. 119,10997 Berlin–Kreuzberg,(030) 690 011 00
Restaurant Safran,Persisches Restaurant,Oranienstr. 172,10999 Berlin–Kreuzberg,(030) 615 621 1
Restaurant Split,Kroatisches Restaurant,Blücherplatz 2,10961 Berlin–Kreuzberg,None
Restaurant Tim Raue,Gourmetrestaurant,Rudi-Dutschke-Str. 26,10969 Berlin–Kreuzberg,(030) 259 379 30
Restaurant Z,Griechisches Restaurant,Friesenstr. 12,10965 Berlin–Kreuzberg,(030) 692 271 6
Richard,Franzoesisches Restaurant,Köpenicker Str. 174,10997 Berlin–Kreuzberg,(030) 492 072 42
Ristorante Diomira,Italienisches Restaurant,Stresemannstr. 60,10963 Berlin–Kreuzberg,None
Ristorante Medel,Italienisches Restaurant,Fichtestr. 32,10967 Berlin–Kreuzberg,(030) 616 208 66
Ristorante Peperoncino,Italienisches Restaurant,Urbanstr. 137,10967 Berlin–Kreuzberg,(030) 695 176 59
Waterfront Berlin Betriebsgesellschaft mbH,Mediterranes Restaurant,May-Ayim-Ufer 9,10997 Berlin–Kreuzberg,(030) 20 84 77 444
Rocco und seine Brüder,Italienisches Restaurant,Lausitzer Platz 13,10997 Berlin–Kreuzberg,None
Ron Telesky Canadian Pizza,Pizzeria,Dieffenbachstr. 62,10967 Berlin–Kreuzberg,(030) 616 211 111
RosaCaleta,Karibisches Restaurant,Muskauer Str. 9,10997 Berlin–Kreuzberg,None
Restaurant Rutz Zollhaus,Deutsches Restaurant,Carl-Herz-Ufer 30,10961 Berlin–Kreuzberg,(030) 233 276 670
Sadhu,Pakistanisches Restaurant,Falckensteinstr. 41,10997 Berlin–Kreuzberg,None
Sage Restaurant,Internationales Restaurant,Köpenicker Str. 18-20,10997 Berlin–Kreuzberg,None
Sala7,Italienisches Restaurant,Grimmstraße 7,10967 Berlin–Kreuzberg,None
Sale e Tabacchi,Italienisches Restaurant,Rudi-Dutschke-Str. 25,10969 Berlin–Kreuzberg,(030) 252 115 5
Salumeria Lamuri,Bistro,Köpenicker Str. 183,10997 Berlin–Kreuzberg,(0175) 700 341 9
Sanabel,Arabisches Restaurant,Schlesische Str. 36,10997 Berlin–Kreuzberg,(030) 530 007 39
Santa Maria,Mexikanisches Restaurant,Oranienstr. 170,10999 Berlin–Kreuzberg,(030) 922 100 27
Sarod's Thairestaurant,Thailaendisches Restaurant,Friesenstr. 22,10965 Berlin–Kreuzberg,(030) 695 073 33
Schlesisch Blau,Deutsches Restaurant,Köpenicker Str. 1a,10997 Berlin–Kreuzberg,(030) 698 145 38
Schwarze Heidi,Schweizer Restaurant,Mariannenstr. 50,10997 Berlin–Kreuzberg,(030) 611 545 5
Schwiliko,Georgisches Restaurant,Schlesische Str. 29,10997 Berlin–Kreuzberg,(030) 616 235 88
Seerose,Vegetarisches Restaurant,Körtestr. 38,10967 Berlin–Kreuzberg,(030) 698 159 27
Sen Viet,Vietnamesisches Restaurant,Zossener Str. 24,10961 Berlin–Kreuzberg,(030) 224 104 46
Shaan I,Indisches Restaurant,Falckensteinstr. 43,10997 Berlin–Kreuzberg,None
